symbol,sector,industry
GE,Industrials,Specialty Industrial Machinery
BAC,Financial Services,Banks Diversified
AAPL,Technology,Consumer Electronics
MSFT,Technology,Software Infrastructure
GILD,Healthcare,Drug Manufacturers General
HPQ,Technology,Computer Hardware
F,Consumer Cyclical,Auto Manufacturers
AMD,Technology,Semiconductors
SNAP,Communication Services,Internet Content & Information
FB,Communication Services,Internet Content & Information
WFC,Financial Services,Banks Diversified
AIG,Financial Services,Insurance Diversified
T,Communication Services,Telecom Services
C,Financial Services,Banks Diversified
VALE,Basic Materials,Metals & Mining
MS,Financial Services,Capital Markets
JPM,Financial Services,Banks Diversified
ORCL,Technology,Software Infrastructure
NKE,Consumer Cyclical,Footwear & Accessories
PG,Consumer Defensive,Household & Personal Products
PFE,Healthcare,Drug Manufacturers General
JD,Consumer Cyclical,Internet Retail
NOK,Technology,Communication Equipment
AVGO,Technology,Semiconductors
MAGN,Basic Materials,Metals & Mining
AMAT,Technology,Semiconductor Equipment & Materials
XOM,Energy,Oil & Gas Integrated
QCOM,Technology,Semiconductors
VIPS,Consumer Cyclical,Internet Retail
CSCO,Technology,Communication Equipment
AXP,Financial Services,Credit Services
BMY,Healthcare,Drug Manufacturers General
V,Financial Services,Credit Services
KEY,Financial Services,Banks Regional
NLMK,Basic Materials,Metals & Mining
RF,Financial Services,Banks Regional
KR,Consumer Defensive,Grocery Stores
HAL,Energy,Oil & Gas Equipment & Services
BABA,Consumer Cyclical,Internet Retail
MRO,Energy,Oil & Gas E&P
GM,Consumer Cyclical,Auto Manufacturers
FCX,Basic Materials,Copper
CRM,Technology,Software Application
ATVI,Communication Services,Electronic Gaming & Multimedia
POLY,Basic Materials,Metals & Mining
SQ,Technology,Software Infrastructure
NUE,Basic Materials,Steel
SWN,Energy,Oil & Gas E&P
LOW,Consumer Cyclical,Home Improvement Retail
VEON,Communication Services,Communication Services
SLB,Energy,Oil & Gas Equipment & Services
FOXA,Communication Services,Broadcasting
GIS,Consumer Defensive,Packaged Foods
VZ,Communication Services,Telecom Services
RASP,Basic Materials,Metals & Mining
ABBV,Healthcare,Drug Manufacturers General
XRX,Technology,Information Technology Services
CVLT,Technology,Software Application
MAT,Consumer Cyclical,Leisure
DVN,Energy,Oil & Gas E&P
IBN,Financial Services,Banks Regional
PRFN,Basic Materials,Metals & Mining
MPC,Energy,Oil & Gas Refining & Marketing
PM,Consumer Defensive,Tobacco
MSCI,Financial Services,Financial Data & Stock Exchanges
KO,Consumer Defensive,Beverages Non-Alcoholic
SRC,Real Estate,REIT Diversified
COP,Energy,Oil & Gas E&P
CHK,Energy,Oil & Gas E&P
DIS,Consumer Cyclical,Entertainment
LEN,Consumer Cyclical,Residential Construction
CVX,Energy,Oil & Gas Integrated
PYPL,Financial Services,Credit Services
WMT,Consumer Defensive,Discount Stores
GMKN,Basic Materials,Metals & Mining
CLF,Basic Materials,Steel
MRK,Healthcare,Drug Manufacturers General
MDLZ,Consumer Defensive,Confectioners
MGM,Consumer Cyclical,Resorts & Casinos
SCHW,Financial Services,Capital Markets
NVDA,Technology,Semiconductors
JNJ,Healthcare,Drug Manufacturers General
WDC,Technology,Computer Hardware
BSX,Healthcare,Medical Devices
ALRS,Basic Materials,Metals & Mining
ON,Technology,Semiconductors
BK,Financial Services,Asset Management
APA,Basic Materials,Independent Oil & Gas
DAL,Industrials,Airlines
CCL,Consumer Cyclical,Travel Services
MFGP,Technology,Software Infrastructure
DISCA,Communication Services,Entertainment
ABT,Healthcare,Medical Devices
FITB,Financial Services,Banks Regional
USB,Financial Services,Banks Regional
BA,Industrials,Aerospace & Defense
EBAY,Consumer Cyclical,Retail Apparel & Specialty
HBAN,Financial Services,Banks Regional
WBA,Healthcare,Pharmaceutical Retailers
CDNA,Healthcare,Diagnostics & Research
KNX,Industrials,Trucking
KBH,Consumer Cyclical,Residential Construction
DISCK,Communication Services,Entertainment
PGR,Financial Services,Insurance Property & Casualty
MO,Consumer Defensive,Tobacco
MDT,Healthcare,Medical Devices
RIG,Energy,Oil & Gas Drilling
EOG,Energy,Oil & Gas E&P
HPE,Technology,Communication Equipment
TXN,Technology,Semiconductors
OKE,Energy,Oil & Gas Midstream
CVS,Healthcare,Health Care Plans
HES,Energy,Oil & Gas E&P
GDDY,Technology,Software Infrastructure
BX,Financial Services,Asset Management
NLSN,Industrials,Consulting Services
BOX,Technology,Software Infrastructure
OXY,Energy,Oil & Gas E&P
SYF,Financial Services,Credit Services
MTG,Financial Services,Insurance Specialty
LUV,Industrials,Airlines
FTI,Energy,Oil & Gas Equipment & Services
AA,Basic Materials,Aluminum
ETSY,Consumer Cyclical,Internet Retail
TAL,Consumer Defensive,Education & Training Services
UNH,Healthcare,Health Care Plans
AMZN,Consumer Cyclical,Internet Retail
ENTG,Technology,Semiconductor Equipment & Materials
CSX,Industrials,Railroads
WYNN,Consumer Cyclical,Resorts & Casinos
FOX,Communication Services,Broadcasting
CNC,Healthcare,Health Care Plans
ZION,Financial Services,Banks Regional
CLDR,Technology,Software Application
CI,Healthcare,Health Care Plans
WMB,Energy,Oil & Gas Midstream
SYNH,Healthcare,Diagnostics & Research
HBI,Consumer Cyclical,Apparel Manufacturing
D,Utilities,Utilities Diversified
CFG,Financial Services,Banks Regional
RUSP,Basic Materials,Metals & Mining
MMM,Industrials,Specialty Industrial Machinery
BIIB,Healthcare,Drug Manufacturers General
ACN,Technology,Information Technology Services
SBUX,Consumer Cyclical,Restaurants
LVS,Consumer Cyclical,Resorts & Casinos
VLO,Energy,Oil & Gas Refining & Marketing
ADSK,Technology,Software Application
HD,Consumer Cyclical,Home Improvement Retail
BIDU,Communication Services,Internet Content & Information
ARNC,Industrials,Specialty Industrial Machinery
MLCO,Consumer Cyclical,Resorts & Casinos
NTRS,Financial Services,Asset Management
DHI,Consumer Cyclical,Residential Construction
UAL,Industrials,Airlines
HRB,Consumer Cyclical,Personal Services
IPG,Communication Services,Advertising Agencies
DE,Industrials,Farm & Heavy Construction Machinery
KHC,Consumer Defensive,Consumer Packaged Goods
COG,Energy,Oil & Gas E&P
IBM,Technology,Software Application
NYT,Communication Services,Publishing
AAL,Industrials,Airlines
JCI,Industrials,Engineering & Construction
NWL,Consumer Defensive,Household & Personal Products
KMB,Consumer Defensive,Household & Personal Products
IT,Technology,Information Technology Services
CAT,Industrials,Farm & Heavy Construction Machinery
MYL,Healthcare,Drug Manufacturers General Specialty & Generic
XRAY,Healthcare,Medical Instruments & Supplies
CHMK,Basic Materials,Metals & Mining
CMC,Basic Materials,Steel
TMUS,Communication Services,Telecom Services
NRG,Utilities,Utilities Independent Power Producers
CPB,Consumer Defensive,Packaged Foods
WRB,Financial Services,Insurance Property & Casualty
MOMO,Communication Services,Internet Content & Information
TGT,Consumer Defensive,Discount Stores
GLW,Technology,Electronic Components
MAS,Industrials,Building Products & Equipment
DOV,Industrials,Specialty Industrial Machinery
HRL,Consumer Defensive,Packaged Foods
AES,Utilities,Utilities Diversified
PPL,Utilities,Utilities Regulated Electric
SEE,Consumer Cyclical,Packaging & Containers
STX,Technology,Computer Hardware
ADBE,Technology,Software Infrastructure
K,Consumer Defensive,Packaged Foods
M,Consumer Cyclical,Department Stores
TSLA,Consumer Cyclical,Auto Manufacturers
CY,Technology,Semiconductors
TSM,Technology,Semiconductors
NBL,Energy,Oil & Gas E&P
BAH,Industrials,Consulting Services
MET,Financial Services,Insurance Life
AFL,Financial Services,Insurance Life
TPR,Consumer Cyclical,Luxury Goods
LNT,Utilities,Utilities Regulated Electric
LKQ,Consumer Cyclical,Auto Parts
PCG,Utilities,Utilities Regulated Electric
CLR,Energy,Oil & Gas E&P
LULU,Consumer Cyclical,Apparel Retail
UAA,Consumer Cyclical,Apparel Manufacturing
CAG,Consumer Defensive,Packaged Foods
STLD,Basic Materials,Steel
PEP,Consumer Defensive,Beverages Non-Alcoholic
SO,Utilities,Utilities Regulated Electric
ROLO,Basic Materials,Metals & Mining
COST,Consumer Defensive,Discount Stores
GS,Financial Services,Capital Markets
ALTR,Technology,Software Infrastructure
EMR,Industrials,Specialty Industrial Machinery
CNP,Utilities,Utilities Regulated Gas
CCI,Real Estate,REIT Specialty
ALXN,Healthcare,Biotechnology
COTY,Consumer Defensive,Household & Personal Products
MA,Financial Services,Credit Services
AWI,Industrials,Building Products & Equipment
ADP,Industrials,Staffing & Employment Services
MNST,Consumer Defensive,Beverages Non-Alcoholic
GTN,Communication Services,Broadcasting
AMT,Real Estate,REIT Specialty
PSTG,Technology,Computer Hardware
SJM,Consumer Defensive,Packaged Foods
ETN,Industrials,Specialty Industrial Machinery
CL,Consumer Defensive,Household & Personal Products
PXD,Energy,Oil & Gas E&P
ADM,Consumer Defensive,Farm Products
VTR,Real Estate,REIT Healthcare Facilities
VMW,Technology,Software Infrastructure
DKS,Consumer Cyclical,Specialty Retail
LRCX,Technology,Semiconductor Equipment & Materials
NXPI,Technology,Semiconductors
CE,Basic Materials,Chemicals
WELL,Real Estate,REIT Healthcare Facilities
TJX,Consumer Cyclical,Apparel Retail
PLD,Real Estate,REIT Industrial
XEC,Energy,Oil & Gas E&P
ENDP,Healthcare,Drug Manufacturers General Specialty & Generic
VFC,Consumer Cyclical,Apparel Manufacturing
HON,Industrials,Specialty Industrial Machinery
GOOGL,Communication Services,Internet Content & Information
ICE,Financial Services,Financial Data & Stock Exchanges
WY,Real Estate,REIT Specialty
BLL,Consumer Cyclical,Packaging & Containers
CGNX,Technology,Scientific & Technical Instruments
AMGN,Healthcare,Drug Manufacturers General
FSLR,Technology,Solar
IVZ,Financial Services,Asset Management
DG,Consumer Defensive,Discount Stores
TOL,Consumer Cyclical,Residential Construction
PDCO,Healthcare,Medical Distribution
Z,Communication Services,Internet Content & Information
BCO,Industrials,Security & Protection Services
CME,Financial Services,Financial Data & Stock Exchanges
AIV,Real Estate,REIT Residential
EXC,Utilities,Utilities Diversified
TAP,Consumer Defensive,Beverages Brewers
UNP,Industrials,Railroads
BDX,Healthcare,Medical Instruments & Supplies
LB,Consumer Cyclical,Apparel Retail
DLPH,Consumer Cyclical,Auto Parts
NOV,Energy,Oil & Gas Equipment & Services
LMT,Industrials,Aerospace & Defense
GPS,Consumer Cyclical,Apparel Retail
SYY,Consumer Defensive,Food Distribution
FTV,Technology,Scientific & Technical Instruments
BKI,Technology,Software Infrastructure
CTSH,Technology,Information Technology Services
HOLX,Healthcare,Medical Instruments & Supplies
EIX,Utilities,Utilities Regulated Electric
CTXS,Technology,Software Application
CF,Basic Materials,Agricultural Inputs
PNC,Financial Services,Banks Regional
LYB,Basic Materials,Specialty Chemicals
AEO,Consumer Cyclical,Apparel Retail
XEL,Utilities,Utilities Regulated Electric
NTNX,Technology,Software Infrastructure
HQY,Healthcare,Health Information Services
ARCC,Financial Services,Asset Management
UPS,Industrials,Integrated Freight & Logistics
MUR,Energy,Oil & Gas E&P
VMC,Basic Materials,Building Materials
ANTM,Healthcare,Health Care Plans
GD,Industrials,Aerospace & Defense
KIM,Real Estate,REIT Retail
NWS,Communication Services,Broadcasting
CHD,Consumer Defensive,Household & Personal Products
CHEP,Basic Materials,Metals & Mining
IP,Consumer Cyclical,Packaging & Containers
ZBH,Healthcare,Medical Devices
BBY,Consumer Cyclical,Specialty Retail
GRUB,Communication Services,Internet Content & Information
PWR,Industrials,Engineering & Construction
TNDM,Healthcare,Medical Devices
DXCM,Healthcare,Diagnostics & Research
NTCT,Technology,Software Infrastructure
BEN,Financial Services,Asset Management
KMI,Energy,Oil & Gas Midstream
NAVI,Financial Services,Credit Services
PBH,Healthcare,Medical Distribution
SBH,Consumer Cyclical,Specialty Retail
LLY,Healthcare,Drug Manufacturers General
TTWO,Communication Services,Electronic Gaming & Multimedia
KLAC,Technology,Semiconductor Equipment & Materials
GOOG,Communication Services,Internet Content & Information
HSIC,Healthcare,Medical Distribution
RSG,Industrials,Waste Management
BIG,Consumer Defensive,Discount Stores
PAYC,Technology,Software Application
GCP,Basic Materials,Specialty Chemicals
YUM,Consumer Cyclical,Restaurants
STZ,Consumer Defensive,Beverages Wineries & Distilleries
USFD,Consumer Defensive,Food Distribution
SFM,Consumer Defensive,Grocery Stores
ALLY,Financial Services,Credit Services
QRVO,Technology,Semiconductors
EVR,Financial Services,Capital Markets
CMS,Utilities,Utilities Regulated Electric
KMT,Industrials,Tools & Accessories
HP,Energy,Oil & Gas Drilling
FLR,Industrials,Engineering & Construction
FDX,Industrials,Integrated Freight & Logistics
EMN,Basic Materials,Chemicals
WU,Financial Services,Credit Services
BAX,Healthcare,Medical Instruments & Supplies
CARS,Consumer Cyclical,Auto & Truck Dealerships
TEL,Technology,Electronic Components
MLM,Basic Materials,Building Materials
GWW,Industrials,Industrial Distribution
AOBC,Industrials,Aerospace & Defense
PBF,Energy,Oil & Gas Refining & Marketing
GT,Consumer Cyclical,Auto Parts
EA,Communication Services,Electronic Gaming & Multimedia
CMI,Industrials,Specialty Industrial Machinery
HCA,Healthcare,Medical Care Facilities
VRTX,Healthcare,Biotechnology
INFO,Industrials,Consulting Services
YY,Communication Services,Internet Content & Information
ES,Utilities,Utilities Regulated Electric
ARMK,Consumer Cyclical,Restaurants
OII,Energy,Oil & Gas Equipment & Services
NOW,Technology,Software Application
APTV,Consumer Cyclical,Auto Parts
NSC,Industrials,Railroads
PSX,Energy,Oil & Gas Refining & Marketing
QTS,Real Estate,REIT Industrial
CERN,Healthcare,Health Information Services
AKAM,Technology,Software Infrastructure
CDNS,Technology,Software Application
NKTR,Healthcare,Biotechnology
FOE,Basic Materials,Specialty Chemicals
A,Healthcare,Diagnostics & Research
MDRX,Healthcare,Health Information Services
MOS,Basic Materials,Agricultural Inputs
CTB,Consumer Cyclical,Auto Parts
LPL,Technology,Consumer Electronics
SKX,Consumer Cyclical,Footwear & Accessories
PHM,Consumer Cyclical,Residential Construction
RRC,Energy,Oil & Gas E&P
FL,Consumer Cyclical,Footwear & Accessories
NTAP,Technology,Computer Hardware
BBBY,Consumer Cyclical,Specialty Retail
MAR,Consumer Cyclical,Lodging
CONE,Real Estate,REIT Specialty
LOGM,Technology,Software Application
CB,Financial Services,Insurance Property & Casualty
PRU,Financial Services,Insurance Life
HA,Industrials,Airlines
PBCT,Financial Services,Banks Regional
CBSH,Financial Services,Banks Regional
DRE,Real Estate,REIT Industrial
ANF,Consumer Cyclical,Apparel Retail
HIG,Financial Services,Insurance Diversified
ITW,Industrials,Specialty Industrial Machinery
YELP,Communication Services,Internet Content & Information
MTOR,Consumer Cyclical,Auto Parts
IRM,Real Estate,REIT Specialty
TSCO,Consumer Cyclical,Specialty Retail
POST,Consumer Defensive,Packaged Foods
EL,Consumer Defensive,Household & Personal Products
KRG,Real Estate,REIT Retail
TER,Technology,Semiconductor Equipment & Materials
TWLO,Communication Services,Internet Content & Information
JNPR,Technology,Communication Equipment
URBN,Consumer Cyclical,Apparel Retail
ROKU,Communication Services,Entertainment
INVH,Real Estate,REIT Residential
LW,Consumer Defensive,Packaged Foods
NOC,Industrials,Aerospace & Defense
ASH,Basic Materials,Chemicals
MCHP,Technology,Semiconductors
O,Real Estate,REIT Retail
TPH,Consumer Cyclical,Residential Construction
COF,Financial Services,Credit Services
PFPT,Technology,Software Infrastructure
FLT,Technology,Information Technology Services
FANG,Energy,Oil & Gas E&P
TROW,Financial Services,Asset Management
RXN,Industrials,Specialty Industrial Machinery
OSK,Industrials,Farm & Heavy Construction Machinery
DHR,Healthcare,Diagnostics & Research
AMN,Healthcare,Medical Care Facilities
PPC,Consumer Defensive,Packaged Foods
RCL,Consumer Cyclical,Travel Services
INTU,Technology,Software Application
W,Consumer Cyclical,Internet Retail
PCAR,Industrials,Farm & Heavy Construction Machinery
IR,Industrials,Specialty Industrial Machinery
PEG,Utilities,Utilities Diversified
WEC,Utilities,Utilities Regulated Electric
YUMC,Consumer Cyclical,Restaurants
IMMU,Healthcare,Biotechnology
BXP,Real Estate,REIT Office
WGO,Consumer Cyclical,Recreational Vehicles
KSU,Industrials,Railroads
XLNX,Technology,Semiconductors
FOLD,Healthcare,Biotechnology
JBHT,Industrials,Integrated Freight & Logistics
FBHS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TXT,Industrials,Aerospace & Defense
EXPD,Industrials,Integrated Freight & Logistics
EXPE,Consumer Cyclical,Travel Services
WERN,Industrials,Trucking
ED,Utilities,Utilities Regulated Electric
HCSG,Healthcare,Medical Care Facilities
PUMP,Energy,Oil & Gas Equipment & Services
DLTR,Consumer Defensive,Discount Stores
SWKS,Technology,Semiconductors
PKI,Healthcare,Diagnostics & Research
IIVI,Technology,Scientific & Technical Instruments
CROX,Consumer Cyclical,Footwear & Accessories
UHS,Healthcare,Medical Care Facilities
TDC,Technology,Information Technology Services
MLHR,Industrials,Business Equipment & Supplies
QRTEA,Consumer Cyclical,Internet Retail
TRIP,Consumer Cyclical,Travel Services
FAST,Industrials,Industrial Distribution
RH,Consumer Cyclical,Specialty Retail
CBRE,Real Estate,Real Estate Services
HGV,Consumer Cyclical,Resorts & Casinos
SPG,Real Estate,REIT Retail
EWBC,Financial Services,Banks Diversified
ALNY,Healthcare,Biotechnology
BMRN,Healthcare,Biotechnology
HRTX,Healthcare,Biotechnology
LDOS,Technology,Information Technology Services
AEE,Utilities,Utilities Regulated Electric
EXEL,Healthcare,Biotechnology
ADI,Technology,Semiconductors
OLED,Technology,Semiconductor Equipment & Materials
EYE,Consumer Cyclical,Specialty Retail
MBT,Communication Services,Telecom Services
TMO,Healthcare,Diagnostics & Research
STT,Financial Services,Asset Management
WRK,Consumer Cyclical,Packaging & Containers
BR,Technology,Information Technology Services
SSNC,Technology,Software Application
CHTR,Communication Services,Entertainment
ACAD,Healthcare,Biotechnology
ZEN,Technology,Software Application
ATUS,Communication Services,Telecom Services
SIG,Consumer Cyclical,Luxury Goods
BDC,Industrials,Electrical Equipment & Parts
XPO,Industrials,Integrated Freight & Logistics
CRI,Consumer Cyclical,Apparel Retail
MANH,Technology,Software Application
AGCO,Industrials,Farm & Heavy Construction Machinery
MMC,Financial Services,Insurance Brokers
TMHC,Consumer Cyclical,Residential Construction
URI,Industrials,Rental & Leasing Services
SPLK,Technology,Software Infrastructure
VRSN,Technology,Software Infrastructure
MCO,Financial Services,Financial Data & Stock Exchanges
SLG,Real Estate,REIT Office
BZUN,Consumer Cyclical,Internet Retail
PAGS,Technology,Software Application
L,Financial Services,Insurance Property & Casualty
NWSA,Communication Services,Broadcasting
ARNA,Healthcare,Biotechnology
VNO,Real Estate,REIT Office
ULTA,Consumer Cyclical,Specialty Retail
JACK,Consumer Cyclical,Restaurants
CPRT,Industrials,Specialty Business Services
DXC,Technology,Information Technology Services
UDR,Real Estate,REIT Residential
SBRA,Real Estate,REIT Healthcare Facilities
EQT,Energy,Oil & Gas E&P
FISV,Technology,Information Technology Services
SRE,Utilities,Utilities Diversified
SAVE,Industrials,Airlines
HTA,Real Estate,REIT Healthcare Facilities
SXT,Basic Materials,Specialty Chemicals
OMC,Communication Services,Advertising Agencies
EAT,Consumer Cyclical,Restaurants
FMC,Basic Materials,Agricultural Inputs
DFS,Financial Services,Credit Services
PH,Industrials,Specialty Industrial Machinery
CIEN,Technology,Communication Equipment
OIS,Energy,Oil & Gas Equipment & Services
SCCO,Basic Materials,Copper
HDS,Industrials,Industrial Distribution
YEXT,Technology,Software Infrastructure
ALLE,Industrials,Security & Protection Services
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TWNK,Consumer Defensive,Packaged Foods
BMCH,Industrials,Building Products & Equipment
EQIX,Real Estate,REIT Specialty
GRA,Basic Materials,Specialty Chemicals
RDFN,Real Estate,Real Estate Services
UNM,Financial Services,Insurance Life
NJR,Utilities,Utilities Regulated Gas
CTAS,Industrials,Specialty Business Services
REGI,Energy,Oil & Gas Refining & Marketing
VRNT,Technology,Software Infrastructure
HAS,Consumer Cyclical,Leisure
AOS,Industrials,Specialty Industrial Machinery
DGX,Healthcare,Diagnostics & Research
HALO,Healthcare,Biotechnology
FIS,Technology,Information Technology Services
SPGI,Financial Services,Financial Data & Stock Exchanges
BHF,Financial Services,Insurance Life
AN,Consumer Cyclical,Auto & Truck Dealerships
WDAY,Technology,Software Application
MCK,Healthcare,Medical Distribution
VC,Consumer Cyclical,Auto Parts
IEX,Industrials,Specialty Industrial Machinery
MXIM,Technology,Semiconductors
CSOD,Technology,Software Application
ABC,Healthcare,Medical Distribution
EFX,Industrials,Consulting Services
DPZ,Consumer Cyclical,Restaurants
TTM,Consumer Cyclical,Auto Manufacturers
OHI,Real Estate,REIT Healthcare Facilities
SIVB,Financial Services,Banks Regional
LPLA,Financial Services,Capital Markets
SEIC,Financial Services,Asset Management
VEEV,Healthcare,Health Information Services
FORM,Technology,Semiconductors
SWK,Industrials,Tools & Accessories
VNDA,Healthcare,Biotechnology
HTHT,Consumer Cyclical,Lodging
EW,Healthcare,Medical Devices
ROK,Industrials,Specialty Industrial Machinery
ALL,Financial Services,Insurance Property & Casualty
IONS,Healthcare,Biotechnology
SBAC,Real Estate,REIT Specialty
ZTS,Healthcare,Drug Manufacturers General Specialty & Generic
BUD,Consumer Defensive,Beverages Alcoholic
UA,Consumer Cyclical,Apparel Manufacturing
WB,Technology,Online Media
TGNA,Communication Services,Broadcasting
CHGG,Consumer Defensive,Education & Training Services
WM,Industrials,Waste Management
THRM,Consumer Cyclical,Auto Parts
ALB,Basic Materials,Specialty Chemicals
RHI,Industrials,Staffing & Employment Services
HLT,Consumer Cyclical,Lodging
DNOW,Energy,Oil & Gas Equipment & Services
THO,Consumer Cyclical,Recreational Vehicles
PNFP,Financial Services,Banks Regional
OC,Industrials,Building Products & Equipment
EVH,Healthcare,Health Information Services
JELD,Industrials,Building Products & Equipment
TDG,Industrials,Aerospace & Defense
LITE,Technology,Communication Equipment
ROST,Consumer Cyclical,Apparel Retail
SYK,Healthcare,Medical Devices
TRV,Financial Services,Insurance Property & Casualty
CSL,Industrials,Building Products & Equipment
GWRE,Technology,Software Application
ANET,Technology,Computer Hardware
PCRX,Healthcare,Drug Manufacturers General Specialty & Generic
WSM,Consumer Cyclical,Specialty Retail
EXP,Basic Materials,Building Materials
BWA,Consumer Cyclical,Auto Parts
APLE,Real Estate,REIT Hotel & Motel
ADS,Financial Services,Credit Services
DRQ,Energy,Oil & Gas Equipment & Services
ILMN,Healthcare,Diagnostics & Research
ISRG,Healthcare,Medical Instruments & Supplies
CREE,Technology,Semiconductors
DECK,Consumer Cyclical,Footwear & Accessories
COHR,Technology,Computer Hardware
SWCH,Technology,Information Technology Services
CASY,Consumer Defensive,Grocery Stores
PODD,Healthcare,Medical Devices
PLNT,Consumer Cyclical,Leisure
CAH,Healthcare,Medical Distribution
AYI,Industrials,Electrical Equipment & Parts
OI,Consumer Cyclical,Packaging & Containers
DVA,Healthcare,Medical Care Facilities
REGN,Healthcare,Biotechnology
MELI,Consumer Cyclical,Internet Retail
NTES,Communication Services,Internet Content & Information
CMA,Financial Services,Banks Regional
ALK,Industrials,Airlines
CHL,Communication Services,Telecom Services
PFG,Financial Services,Insurance Diversified
HUM,Healthcare,Health Care Plans
JWN,Consumer Cyclical,Department Stores
HFC,Energy,Oil & Gas Refining & Marketing
TSN,Consumer Defensive,Farm Products
PTC,Technology,Software Application
CDW,Technology,Information Technology Services
SBGI,Communication Services,Broadcasting
PLAY,Consumer Cyclical,Restaurants
WAL,Financial Services,Banks Regional
ARE,Real Estate,REIT Office
EXAS,Healthcare,Diagnostics & Research
LYV,Communication Services,Entertainment
ECL,Basic Materials,Specialty Chemicals
ALNU,Basic Materials,Metals & Mining
MKC,Consumer Defensive,Packaged Foods
PETQ,Healthcare,Drug Manufacturers General Specialty & Generic
RMD,Healthcare,Medical Instruments & Supplies
IRDM,Communication Services,Telecom Services
H,Consumer Cyclical,Lodging
AVB,Real Estate,REIT Residential
INCY,Healthcare,Biotechnology
LBRDK,Communication Services,Entertainment
TRMB,Technology,Scientific & Technical Instruments
TDOC,Healthcare,Health Information Services
TRU,Industrials,Consulting Services
XYL,Industrials,Specialty Industrial Machinery
DY,Industrials,Engineering & Construction
MAA,Real Estate,REIT Residential
SYNA,Technology,Semiconductors
PPG,Basic Materials,Specialty Chemicals
DDS,Consumer Cyclical,Department Stores
NMIH,Financial Services,Insurance Property & Casualty
MTCH,Communication Services,Internet Content & Information
TRHC,Healthcare,Health Information Services
HAIN,Consumer Defensive,Packaged Foods
ECHO,Industrials,Integrated Freight & Logistics
MSI,Technology,Communication Equipment
LPSN,Technology,Software Application
KMX,Consumer Cyclical,Auto & Truck Dealerships
LFC,Financial Services,Insurance Life
ESPR,Healthcare,Biotechnology
LH,Healthcare,Diagnostics & Research
PLCE,Consumer Cyclical,Apparel Retail
FND,Consumer Cyclical,Home Improvement Retail
MOH,Healthcare,Health Care Plans
FUL,Basic Materials,Specialty Chemicals
MRC,Energy,Oil & Gas Equipment & Services
EXR,Real Estate,REIT Industrial
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HSY,Consumer Defensive,Confectioners
BECN,Industrials,Building Products & Equipment
COO,Healthcare,Medical Instruments & Supplies
RETA,Healthcare,Biotechnology
BLUE,Healthcare,Biotechnology
CORT,Healthcare,Biotechnology
BOOT,Consumer Cyclical,Apparel Retail
TKR,Industrials,Tools & Accessories
RL,Consumer Cyclical,Apparel Manufacturing
CLGX,Technology,Information Technology Services
AXGN,Healthcare,Medical Devices
MASI,Healthcare,Medical Instruments & Supplies
OKTA,Technology,Software Infrastructure
BRO,Financial Services,Insurance Brokers
ALSN,Consumer Cyclical,Auto Parts
BRKR,Healthcare,Medical Devices
CFX,Industrials,Specialty Industrial Machinery
PANW,Technology,Software Infrastructure
GPC,Consumer Cyclical,Specialty Retail
KMPR,Financial Services,Insurance Property & Casualty
NBIX,Healthcare,Biotechnology
CHKP,Technology,Software Infrastructure
CMCO,Industrials,Farm & Heavy Construction Machinery
BLK,Financial Services,Asset Management
POR,Utilities,Utilities Regulated Electric
ORLY,Consumer Cyclical,Specialty Retail
BGS,Consumer Defensive,Packaged Foods
FFIV,Technology,Software Infrastructure
HOG,Consumer Cyclical,Recreational Vehicles
UNVR,Basic Materials,Chemicals
TRUP,Financial Services,Insurance Specialty
CRS,Industrials,Metal Fabrication
HAE,Healthcare,Medical Instruments & Supplies
DLX,Communication Services,Advertising Agencies
AAP,Consumer Cyclical,Specialty Retail
AON,Financial Services,Insurance Brokers
SKM,Communication Services,Telecom Services
MAN,Industrials,Staffing & Employment Services
CRUS,Technology,Semiconductors
AAXN,Industrials,Aerospace & Defense
TXRH,Consumer Cyclical,Restaurants
BEAT,Healthcare,Diagnostics & Research
TNET,Industrials,Staffing & Employment Services
EEFT,Technology,Software Infrastructure
GMS,Industrials,Building Products & Equipment
PBI,Industrials,Business Equipment & Supplies
RJF,Financial Services,Capital Markets
WWD,Industrials,Aerospace & Defense
TTC,Industrials,Tools & Accessories
SHW,Basic Materials,Specialty Chemicals
AMP,Financial Services,Asset Management
WSO,Industrials,Industrial Distribution
WAB,Industrials,Railroads
PFGC,Consumer Defensive,Food Distribution
MUSA,Consumer Cyclical,Specialty Retail
DK,Energy,Oil & Gas Refining & Marketing
SWX,Utilities,Utilities Regulated Gas
STAG,Real Estate,REIT Industrial
DNLI,Healthcare,Biotechnology
CHRW,Industrials,Integrated Freight & Logistics
TTD,Technology,Software Application
IDXX,Healthcare,Diagnostics & Research
SRPT,Healthcare,Biotechnology
SGEN,Healthcare,Biotechnology
CNK,Communication Services,Entertainment
TCBI,Financial Services,Banks Regional
MDB,Technology,Software Infrastructure
ENS,Industrials,Electrical Equipment & Parts
RP,Technology,Software Application
TFX,Healthcare,Medical Instruments & Supplies
UFS,Basic Materials,Paper & Paper Products
MTN,Consumer Cyclical,Resorts & Casinos
